David Montgomery ,CHI ,RB 
Josh Jacobs ,OAK ,RB 
Miles Sanders ,PHI ,RB 
D.K. Metcalf ,SEA ,WR 
N'Keal Harry ,NE ,WR 
Darrell Henderson ,LAR ,RB 
Deebo Samuel ,SF ,WR 
Marquise Brown ,BAL ,WR 
Miles Boykin ,BAL ,WR 
T.J. Hockenson ,DET ,TE 
Noah Fant ,DEN ,TE 
Kyler Murray ,ARI ,QB 
A.J. Brown ,TEN ,WR 
Alexander Mattison ,MIN ,RB 
Devin Singletary ,BUF ,RB 
Darwin Thompson ,KC ,RB 
Justice Hill ,BAL ,RB 
Damien Harris ,NE ,RB 
Parris Campbell ,IND ,WR 
Andy Isabella ,ARI ,WR 
Mecole Hardman ,KC ,WR 
Irv Smith Jr. ,MIN ,TE 
Jace Sternberger ,GB ,TE 
Dwayne Haskins ,WAS ,QB 
Tony Pollard ,DAL ,RB 
J.J. Arcega-Whiteside ,PHI ,WR 
Diontae Johnson ,PIT ,WR 
Hakeem Butler ,ARI ,WR 
Terry McLaurin ,WAS ,WR 
Hunter Renfrow ,OAK ,WR 
Benny Snell Jr.  ,PIT ,RB 
Dexter Williams ,GB ,RB 
Kelvin Harmon ,WAS ,WR 
Preston Williams ,MIA ,WR 
Daniel Jones ,NYG ,QB 
Rodney Anderson ,RB ,RB 
Bruce Anderson ,TB ,RB 
Drew Lock ,DEN ,QB 
Dawson Knox ,BUF ,TE 
Ryquell Armstead ,JAC ,RB 
